Timepoints,Liver signal - vol 3 visit 2,AIF
39129.727,320.32,229.187
39131.905,317,185
39134.085,312.836,190.621
39136.265,316.441,192.425
39138.443,310.294,186.266
39140.622,316.271,187.771
39142.8,311.228,192.493
39144.98,315.936,191.748
39147.16,311.376,191.942
39149.337,314.745,200.761
39151.518,310.577,185.674
39153.697,315.617,185.6
39155.875,311.589,200.879
39158.055,314.628,189.483
39160.235,312.601,187.307
39162.413,313.142,190.358
39164.592,310.523,188.795
39166.77,311.654,197.02
39168.95,308.232,185.339
39171.13,315.747,191.569
39173.307,308.425,186.042
39175.488,315.231,184.557
39177.667,309.099,197.628
39179.845,311.051,187.472
39182.025,312.034,184.507
39184.205,311.686,190.778
39186.383,310.349,187.473
39188.562,312.562,194.076
39190.74,307.694,185.534
39192.92,314.138,193.789
39195.1,309.77,187.397
39197.277,314.307,185.87
39199.458,310.355,198.605
39201.637,312.881,190.486
39203.815,311.276,181.805
39205.995,312.797,251.063
39208.173,311.157,403.573
39210.352,313.602,509.032
39212.533,312.456,472.053
39214.71,316.632,419.062
39216.89,319.059,360.656
39219.07,323.593,307.987
39221.247,326.991,252.004
39223.428,321.825,261.339
39225.607,332.064,264.584
39227.785,329.29,279.901
39229.965,338.96,284.788
39232.143,332.644,290.5
39234.322,343.044,267.981
39236.503,340.814,273.044
39238.68,342.799,261.278
39240.86,344.694,244.735
39243.04,343.608,256.966
39245.217,349.68,257.554
39247.398,338.777,267.192
39249.575,347.455,246.708
39251.755,335.626,249.012
39253.935,349.229,251.059
39256.113,343.197,256.995
39258.292,352.696,243.726
39260.473,343.838,261.089
39262.65,351.506,251.397
39264.83,349.797,244.352
39267.01,353.124,244.739
39269.188,348.522,255.279
39271.367,350.453,251.369
39273.545,352.298,249.494
39275.725,355.121,242.421
39277.905,352.904,238.617
39280.083,354.701,251.454
39282.262,354.243,241.501
39284.443,354.7,249.633
39286.62,355.599,243.537
39288.8,356.558,240.979
39290.977,352.569,240.736
39293.158,357.774,241.236
39295.337,356.777,240.008
39297.515,360.597,233.94
39299.695,352.487,239.15
39301.875,356.805,235.905
39304.053,357.158,242.402
39306.232,360.344,236.387
39308.413,359.2,237.375
39310.59,356.638,239.353
39312.77,359.585,237.956
39314.947,359.632,230.517
39317.128,361.489,230.819
39319.307,357.992,238.49
39321.485,360.395,234.973
39323.665,360.526,229.111
39325.845,364.814,230.612
39328.023,356.604,232.695
39330.202,361.938,230.889
39332.38,358.268,238.047
39334.56,364.305,229.174
39336.74,357.489,230.741
39338.917,363.247,231.58
39341.098,356.811,234.937
39343.277,365.121,218.174
39345.455,353.769,237.228
39347.635,363.353,226.001
39349.815,363.014,228.054
39351.992,364.505,227.072
39354.173,364.52,233.917
39356.35,362.238,226.818
39358.53,366.31,234.748
39360.71,368.523,233.173
39362.887,362.998,232.209
39365.068,369.804,226.736
39367.247,363.507,223.441
39369.425,365.848,229.386
39371.605,366.31,232.913
39373.783,368.953,231.266
39375.962,366.064,230.229
39378.143,371.777,228.88
39380.32,365.903,223.769
39382.5,368.601,226.821
39384.68,367.791,233.558
39386.857,368.743,216.38
39389.038,369.974,225.059
39391.217,366.003,220.346
39393.395,372.261,228.312
39395.575,368.728,219.615
39397.753,370.807,226.096
39399.932,368.129,226.316
39402.113,372.678,218.399
39404.29,371.815,232.442
39406.47,367.713,232.409
39408.65,373.706,227.315
39410.827,368.854,221.273
39413.008,372.691,222.711
39415.185,369.83,218.001
39417.365,373.247,219.65
39419.545,373.203,219.078
39421.723,376.28,223.333
39423.902,373.138,226.362
39426.083,374.471,228.707
39428.26,375.623,225.195
39430.44,374.373,217.454
39432.62,378.939,222.165
39434.798,374.17,218.194
39436.977,377.075,225.664
39439.155,373.89,220.942
39441.335,380.975,231.27
39447.848,384.496,259.276
39450.025,378.128,220.514
39452.205,377.697,220.341
39454.385,378.86,227.328
39456.562,381.036,218.43
39458.742,381.036,229.703
39460.923,375.407,219.335
39463.1,383.413,222.035
39465.28,377.336,216.892
39467.46,380.639,226.79
39469.637,384.15,221.387
39471.818,378.78,222.78
39473.995,384.083,226.359
39476.175,377.992,228.175
39478.355,382.764,214.163
39480.533,385.151,212.91
39482.712,381.15,220.249
39484.893,383.955,218.592
39487.07,384.049,215.005
39489.25,380.96,223.736
39491.43,387.079,215.234
39493.607,377.821,224.915
39495.788,382.858,220.503
39497.965,385.533,218.399
39500.145,383.637,222.386
39502.325,385.872,223.671
39504.503,382.022,215.147
39506.682,386.949,223.786
39508.863,378.687,218.219
39511.04,387.885,211.968
39513.22,386.779,224.045
39515.398,382.843,217.328
39517.577,387.63,218.314
39519.758,380.239,216.683
39521.935,388.7,215.145
39524.115,387.448,222.552
39526.295,384.13,213.483
39528.473,388.632,224.685
39530.652,385.382,217.07
39532.833,387.947,220.677
39535.01,383.152,222.231
39537.19,388.898,208.955
39539.367,387.559,215.206
39541.548,387.391,223.527
39543.727,387.422,220.259
39545.905,384.549,216.948
39548.085,387.963,224.409
39550.265,388.139,217.097
39552.443,388.136,222.091
39554.622,390.529,221.121
39556.8,389.426,214.231
39558.98,391.861,210.289
39561.16,383.056,217.859
39563.337,390.049,213.836
39565.518,380.844,211.71
39567.697,391.501,218.412
39569.875,390.443,216.848
39572.055,392.48,213.889
39574.235,392.129,219.598
39576.413,390.355,211.516
39578.592,392.129,216.173
39580.77,390.446,224.441
39582.95,390.202,214.589
39585.13,389.316,228.131
39587.307,391.413,217.588
39589.488,390.44,212.506
39591.667,392.15,222.145
39593.845,390.63,212.551
39596.025,395.438,217.93
39598.202,390.951,222.538
39600.383,394.122,212.397
39602.562,391.846,215.92
39604.74,392.145,218.316
39606.92,387.876,218.274
39609.1,395.647,217.461
39611.277,391.676,220.908
39613.458,393.996,226.931
39615.637,392.489,208.447
39617.815,393.512,204.518
39619.995,395.203,220.353
39622.173,394.048,211.15
39624.352,396.44,209.465
39626.533,391.628,215.341
39628.71,395.414,212.112
39630.89,388.626,214.784
39633.07,393.189,221.199
39635.247,395.519,217.587
39637.428,397.127,219.211
39639.605,388.039,213.127
39641.785,398.767,213.266
39643.965,393.178,217.382
39646.143,396.6,219.737
39648.322,396.715,213.574
39650.503,393.074,221.723
39652.68,397.368,214.752
39654.86,395.896,213.101
39657.04,397.841,216.979
39659.217,393.753,219.673
39661.398,399.445,209.38
39663.575,395.155,222.144
39665.755,396.649,211.784
39667.935,396.518,216.251
39670.113,399.471,214.506
39672.292,392.976,216.637
39674.473,400.569,209.165
39676.65,397.541,224.484
39678.83,396.871,204.786
39681.008,400.762,213.159
39683.188,394.912,218.129
39685.367,396.827,212.212
39687.545,393.384,211.248
39689.725,401.467,210.674
39691.905,400.459,223.121
39694.083,396.255,213.231
39696.262,401.85,216.835
39698.443,397.218,217.156
39700.62,400.181,212.941
39702.8,401.354,205.347
39704.977,401.038,203.591
39707.158,400.397,218.698
39709.337,399.685,206.182
39711.515,400.359,210.53
39713.695,397.4,205.73
39715.875,400.373,210.797
39718.053,399.582,213.915
39720.232,403.334,215.623
39722.41,404.43,214.402
39724.59,395.94,211.693
39726.77,400.431,212.651
39728.947,404.572,207.246
39731.128,400.648,208.309
39733.307,403.874,216.516
39735.485,396.641,204.454
39737.665,404.67,213.658
39739.845,397.922,211.215
39742.023,405.697,209.535
39744.202,398.381,206.603
39746.38,402.116,213.925
39748.56,404.553,213.076
39750.74,403.518,214.739
39752.917,407.055,216.609
39755.098,401.979,206.781
39757.277,405.402,214.066
39759.455,400.514,213.421
39765.82,410.009,247.162
39768,399.464,212.455
39770.18,408.109,214.038
